id,url,type,propertyId,dateCategory,createdAt,updatedAt,assetId,assetData
cmfv8yu11002gtg0rpgiry26p,https://dv07xnecne2gn.cloudfront.net/1758552845976-01046131.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 14:54:18.756,2025-09-22 14:54:18.756,,
cmfv8yu11002htg0rjicc2az0,https://dv07xnecne2gn.cloudfront.net/1758552845981-01046132.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 14:54:18.756,2025-09-22 14:54:18.756,,
cmfv8yu11002itg0rpwrqehsv,https://dv07xnecne2gn.cloudfront.net/1758552845988-01046127.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 14:54:18.756,2025-09-22 14:54:18.756,,
cmfv8yu11002jtg0rwarrk59d,https://dv07xnecne2gn.cloudfront.net/1758552845980-01046133.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 14:54:18.756,2025-09-22 14:54:18.756,,
cmfv8yu11002ktg0rg034e5zi,https://dv07xnecne2gn.cloudfront.net/1758552845978-01046134.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 14:54:18.756,2025-09-22 14:54:18.756,,
cmfv96ty4002qtg0r22uryzht,https://dv07xnecne2gn.cloudfront.net/1758553214554-01046139.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:00:31.898,2025-09-22 15:00:31.898,,
cmfv96ty4002rtg0rmm5vbox1,https://dv07xnecne2gn.cloudfront.net/1758553214573-01046138.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:00:31.898,2025-09-22 15:00:31.898,,
cmfv96ty4002stg0ruprhkliz,https://dv07xnecne2gn.cloudfront.net/1758553214639-01046137.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:00:31.898,2025-09-22 15:00:31.898,,
cmfv96ty4002ttg0rnmsqqhl7,https://dv07xnecne2gn.cloudfront.net/1758553214578-01046136.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:00:31.898,2025-09-22 15:00:31.898,,
cmfv96ty4002utg0rwtwd7x4j,https://dv07xnecne2gn.cloudfront.net/1758553214626-01046135.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:00:31.898,2025-09-22 15:00:31.898,,
cmfv9bw8c0030tg0rl0qi5gvp,https://dv07xnecne2gn.cloudfront.net/1758553459839-01046140.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:04:28.139,2025-09-22 15:04:28.139,,
cmfv9bw8c0031tg0rx8xh4thf,https://dv07xnecne2gn.cloudfront.net/1758553459844-01046141.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:04:28.139,2025-09-22 15:04:28.139,,
cmfv9bw8c0032tg0regvdlt9o,https://dv07xnecne2gn.cloudfront.net/1758553459842-01046143.jpg,image/jpeg,cmfr6ratc0005tg0ro7exwhb4,September-2025,2025-09-22 15:04:28.139,2025-09-22 15:04:28.139,,
